Gender,Sports,Music,Video Games,Red LED - Average (in ms),Red LED - Standard Deviation (in ms),Red LED - The number of trials (like 100),Buzzer - Average (in ms),Buzzer - Standard Deviation (in ms),Buzzer - The number of trials,2 color LED - Average (in ms),2 color LED - Standard Deviation (in ms),2 color LED - The number of trials,3 color LED - Average (in ms),3 color LED - Standard Deviation (in ms),3 color LED - The number of trials
1,1,1,0,195.58,61.2,212,171.03,51.06,420,287.34,83.37,212,337.15,117.51,166
2,1,4,0,254.64,64.431,100,245.22,75.76,100,380.29,119.62,100,451.68,133.086,100
1,1,4,0,191.0945946,21.98412752,74,165.0133333,18.88385083,75,286.296,43.58091766,125,374.5757576,73.45975204,132
1,4,2,0,206,20,100,200,57,100,385,119,100,506,141,100
1,2,4,0,267,90.6,50,183.42,55.8,50,353.2,121.5,100,549.3,214.1,100
1,1,4,0,211.2763158,23.93005085,76,183.5189873,23.68776897,79,372.8580247,103.5475001,159,434.3643411,91.97210042,126
1,2,1,0,238.5,50.89,68,169.66,104.66,51,438.79,121.5,101,520.74,129.2,100
1,5,5,0,208.6,28.6,100,185.3,47.9,100,364.3,81.6,100,606.3,170.9,100
2,3,1,0,255.8468468,117.8956783,110,207.4678899,131.4755755,100,498.0733945,253.1871595,100,673.2166667,309.8873232,0
2,4,2,0,202.45,51.83,102,196.68,61.2,102,139.38,149.55,132,180.98,210.48,106
1,2,5,0,226.17,57.46,100,243.83,70.91,100,307.19,108.05,100,518.61,219.53,129
1,2,4,0,178.8,30.8,121,159.2,27.2,136,335.2,99.2,106,525.3,181,115
1,2,4,0,168.56,17.47,105,143.02,20.54,106,428.47,125.48,140,561.08,164.85,152
1,4,4,0,220,58,56,188,31,62,374,121,107,486,147,117
1,5,1,0,185.53,36.1,140,189.93,52.3,85,302.21,88.79,224,413.2,116.3,237
1,5,2,0,205.8,40.391,55,171.636,36.78,58,328.824,72.699,108,449.63,110.453,108
1,4,2,0,215.7704918,84.17340639,80,180.7702703,43.67928178,74,427.9731544,136.837529,149,531.5430464,198.765086,151
1,3,1,0,198.47,37.66,125,158.87,34.12,117,289.23,89.62,105,472.56,197.36,100
1,1,2,0,205.98,31.69,100,173.12,26,100,378.12,129.67,100,444.75,120.91,100
1,3,4,0,212,65,107,184,42,107,356,99,136,567,235,175
1,4,1,0,219,26,60,196,24,60,374,136,129,417,109,169
1,1,1,1,262,90.5,104,202,61.2,120,434,138.5,97,506,137,119
1,4,1,5,214.18,45.01,61,195.23,41.28,60,405.79,111.73,104,500.39,149.03,108
2,2,3,5,213.78,54.46,100,191.2,35.24,100,554.81,170.43,100,761.4,420.75,100
2,1,3,4,224.716,53.863,60,219.483,34.463,60,330.209,80.041,110,463.225,163.997,111
2,2,5,1,212.6,40.8,86,170.3,35.9,66,322.9,107.8,108,447.3,131.1,135
2,4,3,2,248,51,129,214,45,138,500,55,141,524,59,126
1,3,1,5,203.17,23.32,53,170.65,18.39,55,276.53,65.8,140,389.33,117.45,130
1,3,3,4,309,84.9,50,216,59,50,632,200.54,50,700,202,50
1,2,1,2,203.71,59.77,100,180.37,92.99,100,459.76,144.96,104,610.35,169.91,104
1,1,1,5,195.08,56.083,100,165.89,28.16,120,331.42,77.9,100,418.44,120.718,100
2,5,1,2,221.3,21.2,97,177.7,21.6,101,426.5,170.7,100,477,172.1,100
1,4,4,5,250,87,132,195,64,112,448,146,100,523,170,243
1,4,3,4,212,48,105,187,49,105,342,115,108,527,173,108
2,1,2,5,187.83,34.99,100,177.71,53.42,100,450.87,109.17,100,507.92,121.31,100
1,2,1,4,220,79,142,190,77,101,322,80,106,402,119,124
1,3,1,3,197,31.7,100,147,45.8,100,323,79,100,434,107,100
1,4,1,5,169.62,34.6929,82,174.875,32.482,64,329.9509803,84.4661873,102,460.757009,121.03748,107
1,1,5,2,183,15.7,230,140,7,400,247,22,200,289,35,200
1,1,1,1,224.84,50.27319763,100,162.71,30.07367453,100,361.48,87.607817,100,399.12,99.81044835,100
1,3,5,5,209.6,63.6,116,172,45.1,109,305.6,118.7,113,402,152.5,104
1,1,1,5,214.92,51.73,100,173.06,37.03,100,302.97,87.13,100,407.6,124.78,100
1,5,1,2,210.64,36.97,112,182.06,51.11,107,238.27,21.23,115,259.33,62.5,106
1,1,2,1,195.74,44.3,124,186.74,63.11,95,356.29,101.34,169,449.76,133.21,121
1,3,1,2,179,29.6,100,163,40.6,100,370,118,100,373,108,100
2,1,1,3,193.31,31.726,119,171.99,33.914,104,452.49,129.305,109,477.81,119.753,161
2,3,1,1,207,50,114,163,43,114,419,130,110,584,147,110
1,1,2,2,404,136,53,394,96,92,484,140,112,474,128,111
1,3,1,5,193.7407407,70.5711317,100,162.5445544,45.9856897,100,160.6604478,171.023304,134,218.524,235.9107997,125
2,1,1,1,235.7,60.95,108,188.5,45.91,113,330.1,71.11,111,529.7,131.8,105
